Cell_Index_Global	Cage_ID	Cell_Type	Median_intensity_FITC	Median_intensity_TRITC	Median_intensity_Cy5
4546	15_39	M_B3Z	51916	1021	3190
4547		H_Ramos	413	876	20965
4548	15_39	M_B3Z	54431	1023	3268
4549	14_39	H_Ramos	381	844	16444
4550		Undetermined	331	737	3441
4551	14_40	M_B3Z	50759	1159	3598
4552	15_41	M_B3Z	53189	834	2625
4553	15_41	Undetermined	289	613	9089
4554	15_41	M_B3Z	18770	709	2406
4558	14_41	M_B3Z	51357	1286	3749
4560	15_42	H_Ramos	356	799	17818
4561	15_42	Undetermined	1504	789	3528
4562		Undetermined	352	835	3856
4563	14_42	M_B3Z	3647	977	3972
4564	15_43	M_B3Z	61936	1019	3312
4566	14_44	M_B3Z	51251	855	3235
4567	15_44	M_B3Z	17184	582	1994
4569	14_44	M_B3Z	55317	1054	3067
4570	14_44	H_Ramos	344	704	16088
4577	15_44	M_B3Z	65434	1075	3299
4578	14_45	M_B3Z	57569	1277	3795
4579	14_45	M_B3Z	59629	1277	3793
4580	15_45	M_B3Z	39983	879	3322
4581	14_45	M_B3Z	58259	1297	3913
4582		M_B3Z	19114	1571	4208
4583	14_46	H_Ramos	384	861	10045
4584	15_46	Undetermined	343	718	7771
4588	14_47	M_B3Z	37083	1004	3549
4589	15_47	M_B3Z	25470	857	3078
4590	14_48	H_Ramos	394	883	17320
4591		M_B3Z	4763	807	3665
4592	15_48	H_Ramos	370	766	18862
4593		Undetermined	342	825	3987
4594	14_48	M_B3Z	36429	1009	3668
4595	14_48	H_Ramos	428	796	28858
4596	15_48	H_Ramos	361	766	16712
4597	15_48	H_Ramos	337	745	10909
4598	15_48	M_B3Z	38100	971	3300
4599	14_48	H_Ramos	381	840	12943
4600		H_Ramos	289	690	12934
4602	14_49	M_B3Z	6415	897	3430
4603	14_49	M_B3Z	38158	966	3366
4604	14_49	H_Ramos	364	783	15216
4607		M_B3Z	16147	832	3856
4608	15_50	H_Ramos	340	805	19558
4609	14_50	H_Ramos	412	983	26178
4610	14_50	H_Ramos	423	1002	18301
4611	14_50	M_B3Z	57666	1115	4432
4613	15_51	M_B3Z	37402	1120	3712
4614		Undetermined	307	1011	3541
4616	15_52	M_B3Z	47794	821	2969
4617	14_52	M_B3Z	40881	920	3536
4620		Undetermined	298	703	3515
4621		Undetermined	324	949	6417
4622	14_53	H_Ramos	424	873	22864
4623		Undetermined	380	857	4165
4624		M_B3Z	65434	1183	3969
4625		Undetermined	344	753	3574
4626		Undetermined	340	735	3528
4627	14_55	M_B3Z	51795	919	3293
4628	14_55	M_B3Z	49218	1214	3428
4629	14_55	H_Ramos	560	791	21252
4630	14_55	M_B3Z	65024	1030	3449
