	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
7_98	4.0666757	4.3278875	1	Mouse	13.564073	-2.1102133	0	2.2488134	-1.557664	4
7_110	7.7945814	2.7914531	1	Mouse	9.304726	-3.70479	1	2.996372	-3.1407652	5
8_11	6.774734	0.8034548	1	Mouse	4.4619	6.4581113	2	0.4685175	-1.5519868	0
8_23	7.8419886	5.67055	1	Mouse	11.079453	5.5721188	0	-0.22520213	-0.89667857	0
8_27	12.903386	0.77312714	1	Mouse	11.418366	6.1497073	0	-0.4260136	1.3204151	4
8_31	-0.4006249	1.5222665	0	Mouse	10.701887	-3.1060464	0	9.953143	1.8169082	7
8_43	-1.0134789	3.1085253	0	Human	6.1810446	4.3849773	2	1.5612074	2.624684	3
8_44	11.245334	3.0007906	1	Mouse	-1.2835923	6.1454816	3	-2.3592818	-0.09434896	0
8_47	9.600775	9.681765	2	Mouse	8.312608	0.79505444	0	3.143249	-2.9242399	5
8_53	11.211276	5.2800097	1	Mouse	10.928199	2.4682503	0	-2.322715	3.6417177	2
8_62	9.993537	3.2229617	1	Mouse	11.694566	2.1267843	0	1.5090998	-0.3386758	4
8_65	-3.8264935	3.7217567	0	Human	7.574713	6.446598	2	3.1909714	3.6718507	3
8_77	-3.1026208	1.0578651	0	Human	6.6117916	4.363611	0	1.4993603	3.235723	3
8_80	2.648694	5.940325	0	Human	12.756835	3.4259613	0	0.7885541	2.405431	3
8_90	12.34136	7.285634	2	Mouse	8.966206	6.667474	2	-3.9191346	0.78852534	0
8_97	8.002751	7.27578	2	Mouse	7.442251	-0.13469718	0	-0.28520298	-3.756437	1
8_100	7.940365	3.0472474	1	Mouse	7.6797476	-0.93610775	1	-2.3754299	3.0129411	2
9_10	2.823895	6.360113	0	Mouse	11.252982	2.4236593	0	-1.0667138	-3.5808992	1
9_13	7.856696	5.8305926	1	Mouse	7.282837	-2.4375436	1	-3.516806	2.4951172	2
9_29	-2.2837243	1.9839071	0	Human	8.293966	3.63686	2	-3.9264097	2.8896892	2
9_30	7.461524	2.60026	1	Mouse	5.053365	-2.8900154	1	-6.3428044	0.31100056	6
9_33	14.257405	5.79212	2	Mouse	-1.1929502	7.3766637	3	0.024187783	1.2659526	4
9_38	12.930334	7.5130024	2	Mouse	6.501826	-2.753066	1	3.5572357	-3.161375	5
9_39	13.602023	4.2459893	1	Mouse	12.504251	-1.228871	0	2.370319	-0.9976229	4
9_66	14.304488	7.3031883	2	Mouse	8.003133	2.9592688	0	0.7894295	-2.347601	0
9_76	10.19511	4.368956	1	Mouse	7.4187217	2.8394449	0	-1.9096582	-2.8531685	1
9_87	-1.9182314	1.1556519	0	Human	3.9695816	8.475595	2	3.1494744	2.0481405	3
9_95	2.991066	6.4813495	0	Mouse	7.1208744	4.4832487	2	-5.151654	-2.696514	6
9_102	1.8231473	2.4428008	0	Mouse	9.65315	0.19602469	0	-1.2782779	-2.5335224	1
10_1	2.8994362	0.7614117	0	Mouse	13.785479	-0.6085641	0	0.5956384	-0.04128953	4
10_10	12.059742	1.3315667	1	Mouse	10.052622	0.49252585	0	-2.0236695	0.18181162	0
10_15	-4.0153933	0.9408489	0	Human	6.6628175	5.417897	2	2.062953	2.317042	3
10_20	8.910334	8.3476305	2	Mouse	14.84576	0.5263627	0	1.8793873	-4.346745	5
10_21	12.93362	0.38557562	1	Mouse	10.720668	4.806674	0	-1.0530438	2.6636813	2
10_53	10.687676	2.1071687	1	Mouse	10.509828	4.259549	0	1.0825835	-0.7536629	6
10_62	8.417093	3.1230206	1	Mouse	9.771602	-2.5426052	1	-1.0029067	-0.042577848	4
10_63	9.544193	1.9929568	1	Mouse	-1.4324112	7.3513594	3	-4.7191715	-1.9963833	6
10_94	12.443226	8.45977	2	Mouse	6.020685	2.1626654	2	-4.184534	1.2228931	0
10_98	4.1069474	-1.1480476	1	Mouse	5.479115	-5.5278077	1	-1.871121	-0.17776284	0
10_99	-4.5218854	1.933604	0	Human	7.3116593	6.150794	2	3.9632351	2.8270948	3
10_108	12.464696	8.545189	2	Mouse	10.658666	4.006765	0	1.5899403	-3.321498	5
11_8	3.4644554	6.0257487	0	Mouse	11.57597	-0.20701571	0	-5.152342	2.725594	2
11_16	4.9453697	3.4796538	1	Mouse	7.6668053	3.6806908	2	-4.848222	-2.2949016	6
11_60	12.790365	0.66745204	1	Mouse	-1.73652	6.314032	3	-0.54238784	1.2769713	4
11_68	8.947826	7.9018188	2	Mouse	5.023845	6.52977	2	-2.8320086	-1.9609085	0
11_95	7.1022873	2.770486	1	Mouse	10.885693	4.965559	0	-1.5782033	-3.4921486	1
