	H_UMIs_cage	M_UMIs_cage	Cell_type_img
36_77	326	16	Human
36_80	193	8	Human
36_83	212	12	Human
36_106	21	216	Mouse
36_112	553	24	Human
37_2	539	13	Human
37_3	30	529	Mouse
37_5	19	561	Mouse
37_8	327	29	Mouse
37_9	18	242	Mouse
37_17	428	12	Human
37_23	327	2	Human
37_24	226	26	Human
37_29	210	7	Human
37_40	153	2	Human
37_41	23	238	Mouse
37_50	76	18	Human
37_51	204	14	Human
37_52	78	2	Human
37_54	18	186	Mouse
37_62	28	141	Mouse
37_63	650	7	Human
37_64	377	11	Human
37_68	53	251	Mouse
37_73	53	402	Mouse
37_75	420	33	Undetermined_cells
37_79	21	264	Mouse
37_85	24	270	Mouse
37_87	7	153	Mouse
37_95	39	408	Mouse
37_99	286	30	Human
37_100	12	93	Mouse
38_7	261	11	Human
38_8	182	16	Mouse
38_9	62	8	Mouse
38_13	13	3	Undetermined_cells
38_17	346	6	Human
38_18	32	1	Undetermined_cells
38_20	386	7	Mouse
38_28	307	62	Undetermined_cells
38_33	323	8	Human
38_43	135	0	Undetermined_cells
38_46	92	2	Human
38_56	408	29	Human
38_57	321	33	Human
38_58	22	296	Mouse
38_61	49	262	Mouse
38_67	25	272	Mouse
38_69	931	47	Human
38_70	67	379	Mouse
38_72	325	20	Human
38_78	24	141	Mouse
38_81	330	75	Human
38_83	229	9	Undetermined_cells
38_92	37	180	Mouse
38_106	306	16	Human
39_1	1043	78	Human
39_17	190	6	Human
39_31	62	1	Human
39_43	112	5	Human
39_50	11	46	Mouse
39_51	217	3	Human
39_54	215	23	Human
39_57	237	4	Mouse
39_61	57	674	Mouse
39_69	77	360	Mouse
39_84	740	16	Human
39_85	624	9	Human
39_96	32	236	Mouse
39_104	395	8	Human
39_105	11	76	Mouse
39_106	168	2	Human
39_109	494	5	Human
40_1	769	10	Human
40_3	733	9	Human
40_4	287	5	Human
40_15	26	1	Human
40_19	183	6	Undetermined_cells
40_23	44	196	Mouse
40_27	22	156	Undetermined_cells
40_39	11	42	Mouse
40_41	47	4	Human
40_45	43	185	Mouse
40_46	33	267	Undetermined_cells
40_47	188	15	Human
40_60	80	13	Undetermined_cells
40_64	46	323	Mouse
40_67	48	196	Undetermined_cells
40_71	58	352	Mouse
40_72	955	30	Human
40_77	242	7	Human
40_78	69	326	Mouse
40_79	37	526	Mouse
40_85	44	394	Mouse
40_87	99	1	Human
40_95	285	15	Human
40_106	19	81	Mouse
40_109	474	7	Human
40_110	913	20	Human
40_111	177	19	Undetermined_cells
41_4	232	5	Human
41_5	360	19	Human
41_8	10	247	Mouse
41_9	171	4	Human
41_12	293	47	Human
41_20	19	395	Mouse
41_22	43	439	Mouse
41_24	522	9	Human
41_25	521	12	Human
41_28	418	24	Human
41_41	429	7	Human
41_43	16	148	Mouse
41_56	10	137	Mouse
41_62	43	281	Mouse
41_70	94	772	Mouse
41_72	655	20	Human
41_78	779	11	Human
41_79	17	4	Mouse
41_83	155	10	Human
41_84	468	106	Human
41_85	280	8	Human
41_88	494	34	Human
41_91	358	6	Human
41_97	404	26	Human
41_100	9	192	Mouse
41_103	166	11	Human
41_104	206	6	Human
41_106	13	85	Mouse
42_1	164	14	Human
42_3	263	27	Human
42_9	380	23	Human
42_13	66	6	Undetermined_cells
42_14	13	192	Mouse
42_17	13	89	Undetermined_cells
42_19	195	7	Human
42_34	18	257	Mouse
42_35	452	15	Human
42_39	635	8	Undetermined_cells
42_44	19	260	Mouse
42_56	287	21	Mouse
42_59	36	244	Mouse
42_63	308	15	Human
42_70	659	17	Human
42_72	94	497	Mouse
42_74	218	10	Human
42_79	382	11	Human
42_80	306	4	Human
42_81	313	78	Mouse
42_82	21	156	Mouse
42_91	7	31	Mouse
42_95	447	8	Human
42_107	125	6	Human
42_109	15	3	Undetermined_cells
43_11	8	262	Mouse
43_25	27	139	Mouse
43_28	176	17	Human
43_35	539	13	Human
43_40	327	7	Human
43_41	244	5	Human
43_60	380	7	Human
43_61	226	5	Human
43_62	18	248	Mouse
43_66	485	13	Human
43_70	24	232	Mouse
43_72	389	49	Human
43_76	207	31	Mouse
43_79	24	174	Mouse
43_85	18	3	Undetermined_cells
43_86	529	10	Human
43_91	14	245	Mouse
43_93	15	246	Mouse
43_97	28	5	Mouse
43_99	266	6	Undetermined_cells
43_105	169	11	Human
43_106	174	33	Human
43_107	18	140	Mouse
44_1	286	4	Human
44_8	12	149	Mouse
44_10	534	25	Human
44_23	277	5	Human
44_30	7	114	Mouse
44_34	272	6	Human
44_40	124	7	Mouse
44_41	203	18	Human
44_48	39	349	Mouse
44_52	161	6	Human
44_53	25	119	Mouse
44_55	185	17	Human
44_56	29	255	Mouse
44_61	240	8	Human
44_62	31	188	Mouse
44_64	386	93	Undetermined_cells
44_69	322	2	Human
44_93	10	141	Mouse
44_96	275	8	Human
45_5	34	419	Mouse
45_7	178	5	Human
45_10	17	317	Mouse
45_13	18	264	Mouse
45_21	17	138	Undetermined_cells
45_23	338	2	Human
45_24	293	8	Human
45_27	531	11	Human
45_28	169	5	Human
45_36	13	324	Mouse
45_39	190	14	Human
45_46	17	207	Mouse
45_48	222	26	Human
45_50	153	6	Human
45_52	358	7	Human
45_60	778	191	Undetermined_cells
45_65	1016	12	Human
45_69	338	12	Human
45_75	20	294	Mouse
45_78	303	5	Human
45_80	138	4	Human
45_82	12	287	Mouse
45_83	6	93	Mouse
45_85	142	3	Human
45_96	177	5	Undetermined_cells
45_98	192	3	Human
45_102	29	400	Mouse
45_107	310	7	Human
45_109	450	9	Human
46_3	19	264	Mouse
46_6	6	268	Mouse
46_13	195	4	Undetermined_cells
46_16	364	8	Human
46_22	277	9	Undetermined_cells
46_27	3	18	Undetermined_cells
46_28	16	94	Undetermined_cells
46_35	542	7	Undetermined_cells
46_36	84	6	Undetermined_cells
46_38	221	10	Human
46_43	417	12	Undetermined_cells
46_46	198	7	Human
46_50	196	13	Human
46_60	13	126	Undetermined_cells
46_67	8	103	Undetermined_cells
46_74	23	138	Mouse
46_76	268	8	Human
46_80	208	3	Human
46_83	324	56	Human
46_89	18	290	Undetermined_cells
46_91	599	88	Human
46_94	304	14	Human
46_103	10	174	Mouse
46_105	246	9	Human
46_110	28	352	Mouse
47_2	495	61	Human
47_9	390	5	Mouse
47_11	20	459	Mouse
47_12	16	316	Mouse
47_21	233	8	Human
47_26	472	9	Human
47_27	12	153	Mouse
47_28	137	5	Human
47_31	16	116	Mouse
47_57	14	107	Mouse
47_59	91	511	Mouse
47_69	120	9	Human
47_71	239	9	Human
47_72	687	14	Human
47_75	439	6	Human
47_76	513	10	Human
47_77	184	5	Human
47_79	81	15	Mouse
47_80	18	286	Mouse
47_86	268	4	Human
47_91	12	320	Mouse
47_95	263	14	Human
47_102	13	3	Mouse
47_106	148	9	Mouse
47_112	227	10	Undetermined_cells
48_10	661	6	Human
48_12	30	254	Mouse
48_16	332	6	Human
48_17	20	1	Undetermined_cells
48_18	477	5	Human
48_21	362	6	Human
48_23	444	6	Human
48_27	25	267	Mouse
48_33	26	251	Mouse
48_37	187	4	Human
48_38	539	10	Human
48_39	792	176	Human
48_46	604	13	Undetermined_cells
48_48	24	171	Mouse
48_49	655	12	Human
48_52	472	36	Human
48_59	295	22	Human
48_63	366	17	Undetermined_cells
